event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-00470,5687,May 27 2024,Design,65.2,212,completed
EVT-00471,2033,January 11 2024,Design,88.1,404,completed
EVT-00472,7743,01/17/2024,Engineering,86.2,396,completed
EVT-00473,7921,January 29 2024,Design,77.9,428,completed
EVT-00474,6002,January 17 2024,Data,15.0,358,completed
EVT-00475,8713,May 07 2024,Data,24.0,85,dropped
EVT-00476,5300,07/20/2024,Data,43.2,193,completed
EVT-00477,4618,2024-09-12,Engineering,93.7,389,completed
EVT-00478,9489,May 25 2024,Design,55.6,344,completed
EVT-00479,1348,June 27 2024,Business,92.4,301,completed
EVT-00480,9186,March 17 2024,Design,27.4,138,completed
EVT-00481,1661,01/17/2024,Security,97.8,98,completed
EVT-00482,3107,10/21/2024,Business,48.5,165,completed
EVT-00483,6085,2024-10-01,Security,98.5,116,dropped
EVT-00484,2839,12/07/2024,Design,1.4,455,completed
EVT-00485,3657,12/12/2024,Business,31.2,243,completed
EVT-00486,4868,March 31 2024,Data,0.1,15,completed
EVT-00487,7299,05/10/2024,Design,3.1,401,in_progress
EVT-00488,5003,02/10/2024,Data,94.6,187,in_progress
EVT-00489,3020,12/28/2024,Business,36.2,428,completed
EVT-00490,2732,May 13 2024,Security,64.2,12,completed
EVT-00491,6538,06/04/2024,Design,29.9,281,completed
EVT-00492,3932,January 01 2024,Engineering,89.9,441,completed
EVT-00493,9745,2024-03-29,Engineering,79.6,342,dropped
EVT-00494,8633,12/25/2024,Design,9.3,404,dropped
EVT-00495,9418,2024-04-28,Data,90.5,216,completed
EVT-00496,3908,December 11 2024,Engineering,35.6,50,dropped
EVT-00497,2687,2024-01-10,Engineering,28.6,227,completed
EVT-00498,5066,2024-09-27,Data,81.6,245,in_progress
EVT-00499,6778,06/02/2024,Engineering,14.9,316,completed
EVT-00500,8559,06/13/2024,Business,64.4,90,completed
